screen_name,tweet,source,reply,is_quote,favorite_count,retweet_count,hashtags,contain_url,contain_media,mention,lang,have_coordinate,name,use_location,have_description,have_url_17,followers_count,friends_count,friend_ratio,listed_count,statuses_count,favourites_count,account_created_at,verified,have_url_26,account_lang,use_banner,status
atawiyata,"Kasiian pak Romy ,
Orang yang baik.. <U+0001F601>

Jangan lupa coblos 01 kalo anda benar percaya kalo SMK / SMA bakalan digaji..

#pilpres2019 #jokowimarufamin #prabosandi #romahurmuziyâ€¦ https://t.co/BM52J8ezGq",Instagram,FALSE,FALSE,0,0,pilpres2019 jokowimarufamin prabosandi romahurmuziy,TRUE,FALSE,FALSE,in,FALSE,Ata Wiyataâ„¢ - Jasa Lettering Dinding,TRUE,TRUE,TRUE,4102,123,33.34959349593496,3,2707,86,2009-12-26T08:52:48Z,FALSE,TRUE,en,TRUE,Human
RhomaIhrama,"@kompasiana @kompascom Nasib #DonaldTrump sebagai Presiden AS di contek #Prabowo dengan ""Make Indonesia Great Again"" <U+0001F602> #pilpres2019",Twitter for Android,TRUE,FALSE,0,0,DonaldTrump Prabowo pilpres2019,FALSE,FALSE,TRUE,in,FALSE,Rhoma Ihrama,TRUE,TRUE,FALSE,5766,66,87.36363636363636,5,28664,46,2013-10-27T05:21:55Z,FALSE,FALSE,en,FALSE,Human
LawakRakyat,"Pilih pemimpin yang keras,  punya hasil nyata dan ada harapan <U+0001F60C>
. 
Lemesin aja shay<U+0001F57A><U+0001F57A>
. 
#infrastruktur 
#spiritofmillennials 
#indonesia #tol 
#transjawa 
#jokowi 
#marufamin2019
#2019jokowilagi 
#jokowisekalilagi 
#pilpres2019 
#jokowi1kalilagi https://t.co/VenAnzrl5y",Twitter for Android,FALSE,FALSE,1,0,infrastruktur spiritofmillennials indonesia tol transjawa jokowi marufamin2019 2019jokowilagi jokowisekalilagi pilpres2019 jokowi1kalilagi,FALSE,TRUE,FALSE,in,FALSE,Lawak_rakyat,FALSE,FALSE,FALSE,3,5,0.6,0,40,3,2019-02-28T12:25:33Z,FALSE,FALSE,en,FALSE,Bot
barkat_patimah,#pilpres2019,Twitter for Android,FALSE,FALSE,1,1,pilpres2019,FALSE,FALSE,FALSE,und,FALSE,Patimah Barkat,TRUE,FALSE,FALSE,8,173,0.046242774566473986,0,58,143,2015-01-20T05:24:44Z,FALSE,FALSE,id,TRUE,Suspicious
LawakRakyat,"Kalau pemimpinnya aja pesimis,  gimana rakyatnya??? . 
Lemesin aja shay<U+0001F57A><U+0001F57A>
. 
#infrastruktur 
#spiritofmillennials 
#indonesia #tol 
#transjawa 
#jokowi 
#marufamin2019
#2019jokowilagi 
#jokowisekalilagi 
#pilpres2019 
#PutihAdalahKITA https://t.co/ClQdQVVxK5",Twitter for Android,FALSE,FALSE,0,0,infrastruktur spiritofmillennials indonesia tol transjawa jokowi marufamin2019 2019jokowilagi jokowisekalilagi pilpres2019 PutihAdalahKITA,FALSE,TRUE,FALSE,in,FALSE,Lawak_rakyat,FALSE,FALSE,FALSE,3,5,0.6,0,40,3,2019-02-28T12:25:33Z,FALSE,FALSE,en,FALSE,Bot
RhomaIhrama,@Beritasatu #Bawaslu Belum Temukan Bendera #HTI di Kampanye Terbuka nya #Jokowi <U+0001F602> #Pilpres2019 https://t.co/ROKkcCMZrP,Twitter for Android,TRUE,FALSE,1,0,Bawaslu HTI Jokowi Pilpres2019,FALSE,TRUE,TRUE,in,FALSE,Rhoma Ihrama,TRUE,TRUE,FALSE,5766,66,87.36363636363636,5,28664,46,2013-10-27T05:21:55Z,FALSE,FALSE,en,FALSE,Human
annas_kamil,"""setiap pertandingan bola nasional tidak akan di sensor"" 
Kalau ada ini di janji para capres dan sawapres pasti saya pilih
#pilpres2019 
#janjipolitik 
#bolaindonesia",Twitter for Android,FALSE,FALSE,1,0,pilpres2019 janjipolitik bolaindonesia,FALSE,FALSE,FALSE,in,FALSE,Annas kamil,TRUE,TRUE,TRUE,269,280,0.9607142857142857,0,717,69,2012-01-16T05:13:38Z,FALSE,TRUE,en,TRUE,Human
fauzi_ajah,"Suara Subang untuk @jokowi atau @prabowo?
 https://t.co/egT7PcvZJH lewat @beritapasundan @DPD_PDIP_JABAR @benirudiono_ID @kang_maman72 @Gerindra #Pilpres2019 https://t.co/QS065sGXP4",Twitter for Android,FALSE,FALSE,0,0,Pilpres2019,TRUE,TRUE,TRUE,in,FALSE,Fauzi_Pasundan,FALSE,TRUE,TRUE,747,236,3.1652542372881354,2,4783,249,2010-07-30T10:39:10Z,FALSE,TRUE,id,TRUE,Human
Bisniscom,"Fatwa bahwa golput itu haram telah dikeluarkan MUI pada 2014. Begini penjelasan dari Ma'ruf Amin. #Golput @nurhadi_aldo #Pilpres2019 #Pileg2019
https://t.co/pdWi8C5NFf",TweetDeck,FALSE,FALSE,2,2,Golput Pilpres2019 Pileg2019,TRUE,FALSE,TRUE,in,FALSE,Bisnis.com,TRUE,TRUE,TRUE,967927,46,21041.891304347828,1117,1082859,295,2010-03-01T09:56:53Z,TRUE,TRUE,en-gb,TRUE,Suspicious
MachbeTer,Walllahhhh kok pas....  Ckckckc.. #AdzanBukanPanggilanNgopi #koalisingopidarat #pilpres2019 #indonesiamaju @Dahnilanzar @prabowo @jokowi @sandiuno #pilpresdamai https://t.co/WzK1rKpjwG,Twitter for Android,FALSE,TRUE,1,1,AdzanBukanPanggilanNgopi koalisingopidarat pilpres2019 indonesiamaju pilpresdamai,TRUE,FALSE,TRUE,in,FALSE,MACHBETter,FALSE,TRUE,FALSE,11,18,0.6111111111111112,0,43,40,2019-03-26T02:02:21Z,FALSE,FALSE,en,FALSE,Suspicious
RhomaIhrama,"@kompascom Dengan hasil yang berbeda-beda itu, terlihat kedinamisan ilmu politik. Sehingga, ilmu politik terlihat semakin menarik, afa lagi #PemRed #Kompas nya Pro #Prabowo <U+0001F602> #Pilpres2019 https://t.co/d8WoR9D5xA",Twitter for Android,TRUE,FALSE,0,0,PemRed Kompas Prabowo Pilpres2019,FALSE,TRUE,TRUE,in,FALSE,Rhoma Ihrama,TRUE,TRUE,FALSE,5766,66,87.36363636363636,5,28664,46,2013-10-27T05:21:55Z,FALSE,FALSE,en,FALSE,Human
watyutink,"Koordinator Divisi Penyelesaian Sengketa Badan Pangawas Pemilu (Bawaslu) Rahmat Bagja menegasakan pemberian uang transport untuk simpatisan pada kampanye terbuka adalah dilarang.Â 
#01IndonesiaMaju
#02SemangatPerubahan
#pilpres2019
https://t.co/gzME0yjHkk",Twitter for Android,FALSE,FALSE,3,1,01IndonesiaMaju 02SemangatPerubahan pilpres2019,TRUE,FALSE,FALSE,in,FALSE,watyutink.com,FALSE,TRUE,TRUE,166,504,0.32936507936507936,0,766,291,2017-08-08T17:35:29Z,FALSE,TRUE,en,FALSE,Suspicious
wirawanyuda,"Gimana ini bu @susipudjiastuti ?? @kkpgoid 

#cantrang
#pilpres2019 https://t.co/zX4YQJBmMU",Twitter for Android,FALSE,FALSE,0,0,cantrang pilpres2019,FALSE,TRUE,TRUE,in,FALSE,Wirawan Yudakusuma,TRUE,TRUE,FALSE,680,840,0.8095238095238095,2,6486,2740,2010-12-11T05:24:51Z,FALSE,FALSE,en,TRUE,Human
agungfirman91,"Kami butuh kerja bukan di hina ,karena 
kami juga manusia biasa 
prabowo
 
jokowi
 
Fahrihamzah
 
sandiuno
 #kaumdifabel #difabel #pilpres2019 #solidaritasdifabel  #mualaikandifabel
#IndonesiaMaju #debat3
#JanganPilihPemimpinPendusta
#DebatCawapres2019",twittbot.net,FALSE,FALSE,1,0,kaumdifabel difabel pilpres2019 solidaritasdifabel mualaikandifabel IndonesiaMaju debat3 JanganPilihPemimpinPendusta DebatCawapres2019,FALSE,FALSE,FALSE,in,FALSE,agung firmansyah,TRUE,TRUE,FALSE,15,175,0.08571428571428572,0,497,23,2009-12-19T07:11:07Z,FALSE,FALSE,id,TRUE,Human
RhomaIhrama,@Irenecutemom mangkenye di #Pilpres2014 Klaim Kiri Kanan &amp; Bahasa Hyperbole nya di fake terus oleh #PraOrBa <U+0001F602> #Pilpres2014 &amp; #Pilpres2019,Twitter for Android,TRUE,FALSE,0,0,Pilpres2014 PraOrBa Pilpres2014 Pilpres2019,FALSE,FALSE,TRUE,in,FALSE,Rhoma Ihrama,TRUE,TRUE,FALSE,5766,66,87.36363636363636,5,28664,46,2013-10-27T05:21:55Z,FALSE,FALSE,en,FALSE,Human
jack_s_hewson,"I'm trying to come up with a good TV angle for #Pilpres2019, and its a total nightmare. The only remarkable thing about this election is how spectacularly boring it is. What are my actualities? It's very hard to film boredom.",Twitter Web App,FALSE,FALSE,16,3,Pilpres2019,FALSE,FALSE,FALSE,en,FALSE,Jack Hewson,TRUE,TRUE,TRUE,3342,447,7.476510067114094,115,10340,3775,2011-08-31T23:19:56Z,TRUE,TRUE,en,TRUE,Suspicious
Rosianna766Hi,#kandidatFest #Pilpres2019 #pintarmemilih @KompasTV https://t.co/XLLpkCxkV8,Twitter for iPhone,FALSE,FALSE,3,1,kandidatFest Pilpres2019 pintarmemilih,FALSE,TRUE,TRUE,und,FALSE,Rosianna Silalahi,TRUE,TRUE,TRUE,372574,794,469.2367758186398,526,15102,43,2010-02-04T05:37:27Z,TRUE,TRUE,en,TRUE,Human
reza_sahara,"Jokowi merakyat
#DukungJokowiSaveJICT
#RiauBersatuUtkJokowi
#pilpres2019
#Jokowi2Periode
#jokowi https://t.co/vkh5Mxsj1P",Twitter for Android,FALSE,FALSE,0,2,DukungJokowiSaveJICT RiauBersatuUtkJokowi pilpres2019 Jokowi2Periode jokowi,FALSE,TRUE,FALSE,in,FALSE,free,TRUE,TRUE,FALSE,204,463,0.4406047516198704,0,924,33,2012-09-22T07:22:02Z,FALSE,FALSE,id,TRUE,Human
ARHakim_27,"Mempunyai pilihan itu adalah hak, tapi jika sampai perbedaan pilihan atau pandangan membuat suatu pertemanan atau persaudaraan hancur, itu yang harus dihindari. #Pemilu2019 #pilpres2019",Twitter for Android,TRUE,FALSE,0,0,Pemilu2019 pilpres2019,FALSE,FALSE,FALSE,in,TRUE,Ali Rahman Hakim,TRUE,TRUE,TRUE,589,497,1.1851106639839035,1,3498,191,2011-05-04T08:03:18Z,FALSE,TRUE,id,FALSE,Human
RhomaIhrama,@detikcom Adik nya @ZUL_Hasan @Official_PAN &amp; #Cendana di Kejar ga ya? <U+0001F602> #Pilpres2019 https://t.co/ITombc814t,Twitter for Android,TRUE,FALSE,2,1,Cendana Pilpres2019,FALSE,TRUE,TRUE,in,FALSE,Rhoma Ihrama,TRUE,TRUE,FALSE,5766,66,87.36363636363636,5,28664,46,2013-10-27T05:21:55Z,FALSE,FALSE,en,FALSE,Human
ARHakim_27,"Bangsa ini sudah terpecah hanya garaÂ² beda pilihan 01 atau 02, seharusnya anakÂ² muda seperti kita ini yang harus meliterasi masyarakat agar semakin tak terpecah, bukan malah ikut arus. #Pemilu2019 #pilpres2019",Twitter for Android,TRUE,FALSE,0,1,Pemilu2019 pilpres2019,FALSE,FALSE,FALSE,in,TRUE,Ali Rahman Hakim,TRUE,TRUE,TRUE,589,497,1.1851106639839035,1,3498,191,2011-05-04T08:03:18Z,FALSE,TRUE,id,FALSE,Human
OPINI_id,"BPN tolak MetroTV dianggap wajar karena MetroTV memang punya kepentingan lebih buat kubu tertentu, katanya.

}---&gt; #Pilpres2019 #BPN #MetroTV #DebatCapres04 #OpiniVideo

&gt;&gt; Tonton debat capres keempat Sabtu (30/03/2019) di https://t.co/7E1OV4a25T &lt;&lt; https://t.co/og5yoYQWHf",Socialbakers,FALSE,FALSE,2,3,Pilpres2019 BPN MetroTV DebatCapres04 OpiniVideo,TRUE,TRUE,FALSE,in,FALSE,OPINI.ID,TRUE,TRUE,TRUE,92894,125,743.152,157,12160,3051,2011-08-21T13:19:39Z,TRUE,TRUE,en,TRUE,Bot
ARHakim_27,"Cukup demokrasimu dibalik bilik suara. Jangan buta dengan realita, pergunakan rasiomu, sadar! #Pemilu2019 #pilpres2019",Twitter for Android,TRUE,FALSE,0,0,Pemilu2019 pilpres2019,FALSE,FALSE,FALSE,in,TRUE,Ali Rahman Hakim,TRUE,TRUE,TRUE,589,497,1.1851106639839035,1,3498,191,2011-05-04T08:03:18Z,FALSE,TRUE,id,FALSE,Human
bangkaposdotcom,"#PrabowoMenyapaBaliDanNTB 
#PrabowoTheNextLeader 
#JokowiCintaAceh 
#JokowiLagi 
#Pilpres2019 
#Pemilu2019 
https://t.co/2UauDrhptA",Twitter for Android,FALSE,FALSE,0,0,PrabowoMenyapaBaliDanNTB PrabowoTheNextLeader JokowiCintaAceh JokowiLagi Pilpres2019 Pemilu2019,TRUE,FALSE,FALSE,und,FALSE,bangkapos,TRUE,FALSE,FALSE,118,113,1.0442477876106195,0,2209,15,2018-09-05T14:27:27Z,FALSE,FALSE,en,TRUE,Suspicious
MSHSyafaat,"Lomba Lomba Foto Banyak Massa
#Pilpres2019",Twitter for Android,FALSE,FALSE,0,0,Pilpres2019,FALSE,FALSE,FALSE,in,FALSE,Syafaat Muhammad,FALSE,TRUE,FALSE,220,239,0.9205020920502092,2,515,21,2013-01-06T06:12:22Z,FALSE,FALSE,en,TRUE,Human
shaun_ww,"@jack_s_hewson Perhaps this is the story... a carefully manipulated â€˜fait accompliâ€™ 

les dÃ©cisions sont prises en petits paquets et avant que nous ayons le temps de comprendre,nous sommes mis devant le fait accompli. 

#Pilpres2019",Twitter for iPhone,TRUE,FALSE,1,0,Pilpres2019,FALSE,FALSE,TRUE,fr,FALSE,shaun_ww,TRUE,TRUE,FALSE,130,600,0.21666666666666667,4,2995,351,2011-08-01T09:19:37Z,FALSE,FALSE,en,TRUE,Suspicious
agungfirman91,"kaum difabel
bukan sampah di masrakyat .kami manusia normalprabowo jokowi Fahrihamzah sandiuno #kaumdifabel #difabel #pilpres2019 #solidaritasdifabe #mualaikandifabel",twittbot.net,FALSE,FALSE,0,0,kaumdifabel difabel pilpres2019 solidaritasdifabe mualaikandifabel,FALSE,FALSE,FALSE,in,FALSE,agung firmansyah,TRUE,TRUE,FALSE,15,175,0.08571428571428572,0,497,23,2009-12-19T07:11:07Z,FALSE,FALSE,id,TRUE,Bot
detikcom,"""Insya Allah, bersama Prabowo-Sandi akan kita sejahterakan nelayan, petani, buruh dan seluruh masyarakat Indonesia, juga para milenial melalui Rumah Siap Kerja dan OK OCE,"" terang @sandiuno. #pilpres2019 #sandiaga  https://t.co/30vespsxys",Echobox Social,FALSE,FALSE,106,25,pilpres2019 sandiaga,TRUE,FALSE,TRUE,in,FALSE,detikcom,TRUE,TRUE,TRUE,15016132,28,536290.4285714285,13311,1459891,35,2009-08-27T03:03:05Z,TRUE,TRUE,en,TRUE,Suspicious
detikcom,Wakil Presiden Jusuf Kalla (JK) mengaku tidak ingat soal janji Jokowi bersama dirinya untuk buyback Indosat. Apa penjelasan JK? #jokowi #wapresjk #pilpres2019  https://t.co/zRJLJe7bya,Echobox Social,FALSE,FALSE,20,9,jokowi wapresjk pilpres2019,TRUE,FALSE,FALSE,in,FALSE,detikcom,TRUE,TRUE,TRUE,15016132,28,536290.4285714285,13311,1459891,35,2009-08-27T03:03:05Z,TRUE,TRUE,en,TRUE,Suspicious
detikcom,"""Mereka niru sudah lama. Sejak pilpres tahun lalu dan lanjut dengan jadi simbol kabinet dan birokrasi/kabinet Jokowi,"" ujar juru bicara BPN Prabowo-Sandi, Sodik Mujahid. #pilpres2019 #jokowi #prabowo  https://t.co/SmpRmvh04F",Echobox Social,FALSE,FALSE,48,6,pilpres2019 jokowi prabowo,TRUE,FALSE,FALSE,in,FALSE,detikcom,TRUE,TRUE,TRUE,15016132,28,536290.4285714285,13311,1459891,35,2009-08-27T03:03:05Z,TRUE,TRUE,en,TRUE,Suspicious
JOI2121,"Ungkap Kegelisahan dengan Kondisi Kampanye Pilpres 2019, Eros Djarot Rilis Dua Lagu https://t.co/W4EX9lTcqs #erosdjarot @YDhewie @Ismednompo #musikindonesia #pilpres2019 @ibonk26 https://t.co/dIz6WnDLka",Twitter Web Client,FALSE,FALSE,1,1,erosdjarot musikindonesia pilpres2019,TRUE,TRUE,TRUE,in,FALSE,journeyofindonesia,TRUE,TRUE,TRUE,24,218,0.11009174311926606,0,452,13,2017-02-17T05:39:01Z,FALSE,TRUE,en,TRUE,Bot
maxwalden_,Mission: Possible #Pilpres2019 https://t.co/Ikp29zGY5H,Twitter for iPhone,FALSE,FALSE,5,1,Pilpres2019,FALSE,TRUE,FALSE,en,FALSE,Max Walden,TRUE,TRUE,FALSE,6342,1497,4.236472945891784,121,25707,21682,2014-05-08T23:10:43Z,FALSE,FALSE,en,TRUE,Suspicious
detikcom,Erwin Aksa mendeklarasikan dirinya mendukung Prabowo-Sandi pada 19 Maret 2019 lalu. Erwin mengaku dukungan itu karena dirinya sahabat Sandiaga. #pilpres2019 #erwinaksa #prabowo #sandi  https://t.co/iR0eESIWHg,Echobox Social,FALSE,FALSE,59,11,pilpres2019 erwinaksa prabowo sandi,TRUE,FALSE,FALSE,in,FALSE,detikcom,TRUE,TRUE,TRUE,15016132,28,536290.4285714285,13311,1459891,35,2009-08-27T03:03:05Z,TRUE,TRUE,en,TRUE,Suspicious
GalihNur24,"Teman lama... 
Dipertemukan oleh FB 
Dipererat oleh whatsapp
Dipisahkan oleh pilpres 
.
.
.
#pilpres2019",Twitter Web App,FALSE,FALSE,0,0,pilpres2019,FALSE,FALSE,FALSE,in,FALSE,Galih Nur Pram,TRUE,TRUE,TRUE,251,125,2.008,1,2014,8,2012-04-26T01:06:10Z,FALSE,TRUE,en,TRUE,Human
SekKepung_Kdr,"#pemilu2019amandamaisejuk
#pilpres2019
#stophoax
#NKRIhargamati
#saveNKRI
#stopblackcampaign
#stopmoneypolitic https://t.co/pV6riI56Px",Instagram,FALSE,FALSE,0,0,pemilu2019amandamaisejuk pilpres2019 stophoax NKRIhargamati saveNKRI stopblackcampaign stopmoneypolitic,TRUE,FALSE,FALSE,und,FALSE,Polsek Kepung,TRUE,TRUE,FALSE,178,21,8.476190476190476,0,4284,3,2017-07-20T07:46:06Z,FALSE,FALSE,id,TRUE,Suspicious
pantau_com,"Di Bali, Prabowo Tegur Pendukungnya yang Serang Jokowi https://t.co/WWS0FvcpRN #pantaucom #prabowosubianto #pilpres2019",dlvr.it,FALSE,FALSE,0,0,pantaucom prabowosubianto pilpres2019,TRUE,FALSE,FALSE,in,FALSE,Pantau.com,TRUE,TRUE,TRUE,2144,46,46.608695652173914,3,31966,9,2017-12-11T06:50:53Z,FALSE,TRUE,en,TRUE,Bot
SekKepung_Kdr,"#pemilu2019amandamaisejuk
#pilpres2019
#stophoax
#NKRIhargamati
#saveNKRI
#stopblackcampaign
#stopmoneypolitic https://t.co/xUoM3h6fu6",Instagram,FALSE,FALSE,0,0,pemilu2019amandamaisejuk pilpres2019 stophoax NKRIhargamati saveNKRI stopblackcampaign stopmoneypolitic,TRUE,FALSE,FALSE,und,FALSE,Polsek Kepung,TRUE,TRUE,FALSE,178,21,8.476190476190476,0,4284,3,2017-07-20T07:46:06Z,FALSE,FALSE,id,TRUE,Suspicious
