alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Selatan,2000000000,3,127,126
Bandung Utara,999000000,3,62,72
Bandung Utara,1019000000,3,66,72
Bandung Timur,1230900000,2,60,90
Bandung Selatan,1400000000,2,94,90
Bandung Utara,5200000000,4,335,589
Bandung Utara,1140750000,3,130,111
Bandung Barat,200000000,2,38,78
Bandung Utara,4501000000,4,250,265
Bandung Tengah,875425000,3,70,95
Bandung Utara,270000000,3,50,130
Bandung Barat,380000000,2,36,72
Bandung Timur,650000000,3,70,98
Bandung Barat,1650000000,2,107,128
Bandung Barat,122000000,2,50,70
Bandung Selatan,725000000,2,80,100
Bandung Tengah,275000000,2,30,33
Bandung Tengah,1900000000,4,197,199
Bandung Utara,850000000,6,180,133
Bandung Selatan,800000000,3,70,95
Bandung Utara,3100000000,3,120,201
Bandung Utara,2600000000,4,250,180
Bandung Timur,850000000,2,100,52
Bandung Barat,3000000000,4,300,270
Bandung Utara,1047830000,3,96,91
Bandung Timur,875425000,3,70,95
Bandung Timur,1290000000,3,180,154
Bandung Selatan,313000000,2,32,60
Bandung Selatan,1905200000,4,130,105
Bandung Tengah,2700000000,4,156,160
Bandung Selatan,3044800000,4,196,162
Bandung Selatan,3700000000,4,202,198
Bandung Utara,175000000,2,60,60
Bandung Timur,375000000,3,60,60
Bandung Timur,461000000,2,36,61
Bandung Selatan,911460000,2,60,92
Bandung Timur,176400000,2,30,60
Bandung Selatan,1289145000,2,68,143
Bandung Selatan,860000000,2,99,52
Bandung Barat,1350000000,2,100,80
Bandung Timur,265000000,2,53,143
Bandung Selatan,2300000000,5,200,233
Bandung Timur,3690000000,5,320,215
Bandung Tengah,1600000000,3,80,119
Bandung Tengah,800000000,3,120,140
Bandung Utara,3000000000,7,200,264
Bandung Utara,990000000,3,110,120
Bandung Utara,3300000000,4,142,352
Bandung Utara,9000000000,4,346,960
Bandung Utara,5500000000,6,550,350
Bandung Tengah,395000000,2,45,112
Bandung Selatan,1600000000,3,155,131
Bandung Utara,4000000000,4,400,360
Bandung Selatan,3800000000,10,300,330
Bandung Tengah,400000000,2,45,112
Bandung Barat,1700000000,3,110,230
Bandung Selatan,300000000,2,36,72
Bandung Barat,576750000,2,36,111
Bandung Barat,975000000,3,90,120
Bandung Selatan,900000000,3,100,150
Bandung Utara,3500000000,4,205,260
Bandung Selatan,4500000000,3,100,165
Bandung Utara,7500000000,4,200,425
