kota,id,hdi,revenue
"Ambon, Kota",IDN_Ambon_Kota_18139,79.58,848613000000
"Balikpapan, Kota",IDN_Balikpapan_Kota_18130,79.87,2422210000000
"Banda Aceh, Kota",IDN_Banda_Aceh_Kota_73705,79,928241000000
"Bandar Lampung, Kota",IDN_Bandar_Lampung_Kota_18134,77.17,1688410000000
"Bandung, Kota",IDN_Bandung_Kota_18015,77.32,4332090000000
"Banjar, Kota",IDN_Banjar_Kota_73707,72.84,620917000000
"Banjarbaru, Kota",IDN_Banjarbaru_Kota_73706,76.86,747567000000
"Banjarmasin, Kota",IDN_Banjarmasin_Kota_18113,75.28,1285110000000
"Batam, Kota",IDN_Batam_Kota_73708,78.73,1749110000000
"Batu, Kota",IDN_Batu_Kota_73709,76.09,553618000000
"Bau-bau, Kota",IDN_Bau-Bau_Kota_73710,75.1,639548000000
"Bekasi, Kota",IDN_Bekasi_Kota_73711,77.67,2962610000000
"Bengkulu, Kota",IDN_Bengkulu_Kota_73712,78.77,793506000000
"Bima, Kota",IDN_Bima_Kota_73713,70.73,537200000000
"Binjai, Kota",IDN_Binjai_Kota_18228,77.79,711568000000
"Bitung, Kota",IDN_Bitung_Kota_73714,76.66,651337000000
"Blitar, Kota",IDN_Blitar_Kota_18073,78.7,612552000000
"Bogor, Kota",IDN_Bogor_Kota_18016,76.82,1574370000000
"Bontang, Kota",IDN_Bontang_Kota_73715,78.4,1409780000000
"Bukittinggi, Kota",IDN_Bukittinggi_Kota_73716,79.29,527478000000
"Cilegon, Kota",IDN_Cilegon_Kota_73717,76.31,1096750000000
"Cimahi, Kota",IDN_Cimahi_Kota_73718,76.86,975350000000
"Cirebon, Kota",IDN_Cirebon_Kota_18017,76.67,1009950000000
"Denpasar, Kota",IDN_Denpasar_Kota_73719,79.41,1547610000000
"Depok, Kota",IDN_Depok_Kota_73720,80.14,1921400000000
"Dumai, Kota",IDN_Dumai_Kota_73721,78.99,1088390000000
"Gorontalo, Kota",IDN_Gorontalo_Kota_18199,74.71,675338000000
"Jambi, Kota",IDN_Jambi_Kota_18003,77.52,1164350000000
"Jayapura, Kota",IDN_Jayapura_Kota_73727,77.12,1005470000000
"Kediri, Kota",IDN_Kediri_Kota_18074,77.8,979947000000
"Kendari, Kota",IDN_Kendari_Kota_73695,77.02,916011000000
"Kepulauan Tidore, Kota",IDN_Kepulauan_Tidore_Kota_73759,70.8,580940000000
"Kotamobagu, Kota",IDN_Kotamobagu_18261,77.05,433606000000
"Kupang, Kota",IDN_Kupang_Kota_73731,78.62,815933000000
"Langsa, Kota",IDN_Langsa_Kota_73732,75.1,560020000000
"Lhokseumawe, Kota",IDN_Lhokseumawe_Kota_73733,77.84,643373000000
"Lubuklinggau, Kota",IDN_Lubuklinggau_Kota_73734,71.83,753988000000
"Madiun, Kota",IDN_Madiun_Kota_18075,78.17,809078000000
"Magelang, Kota",IDN_Magelang_Kota_18043,77.91,634760000000
"Makassar, Kota",IDN_Makassar_Kota_73735,80.17,2361040000000
"Malang, Kota",IDN_Malang_Kota_18076,78.78,1524850000000
"Manado, Kota",IDN_ManAND_Kota_18200,79.34,1204930000000
"Mataram, Kota",IDN_Mataram_Kota_73736,74.58,865840000000
"Medan, Kota",IDN_Medan_Kota_18229,78.62,3267020000000
"Metro, Kota",IDN_Metro_Kota_73737,77.53,618314000000
"Mojokerto, Kota",IDN_Mojokerto_Kota_18077,78.66,568901000000
"Padang Panjang, Kota",IDN_Padang_Panjang_Kota_18205,78.81,1668060000000
"Padang Sidempuan, Kota",IDN_Padang_Sidempuan_Kota_73738,76.31,625779000000
"Padang, Kota",IDN_Padang_Kota_18204,78.82,1714740000000
"Pagar Alam, Kota",IDN_Pagar_Alam_Kota_73739,74.47,623518000000
"Palangkaraya, Kota",IDN_Palangkaraya_Kota_18124,79.52,874843000000
"Palembang, Kota",IDN_Palembang_Kota_18218,77.74,2510650000000
"Palopo, Kota",IDN_Palopo_Kota_73740,77.7,604410000000
"Palu, Kota",IDN_Palu_Kota_73741,77.88,998143000000
"Pangkal Pinang, Kota",IDN_Pangkal_Pinang_Kota_73742,77.3,662197000000
"Parepare, Kota",IDN_Parepare_Kota_18174,79.02,614514000000
"Pasuruan, Kota",IDN_Pasuruan_Kota_18078,74.75,576598000000
"Payakumbuh, Kota",IDN_Payakumbuh_Kota_73746,76.99,542605000000
"Pekalongan, Kota",IDN_Pekalongan_Kota_18044,75.75,675375000000
"Pekanbaru, Kota",IDN_Pekanbaru_Kota_18165,79.47,1995610000000
"Pematang Siantar, Kota",IDN_Pematang_Siantar_Kota_73747,78.62,731041000000
"Pontianak, Kota",IDN_Pontianak_Kota_18103,74.64,1247090000000
"Prabumulih, Kota",IDN_Prabumulih_Kota_73748,75.83,781836000000
"Probolinggo, Kota",IDN_Probolinggo_Kota_18079,75.94,682356000000
"Sabang, Kota",IDN_Sabang_Kota_17967,77.23,427090000000
"Samarinda, Kota",IDN_Samarinda_Kota_18131,78.79,2567630000000
"Sawahlunto, Kota",IDN_Sawahlunto_Kota_18206,76.11,528682000000
"Semarang, Kota",IDN_Semarang_Kota_18046,78.54,2796570000000
"Serang, Kota",IDN_Serang_18294,73.12,869333000000
"Sibolga, Kota",IDN_Sibolga_Kota_18231,76.19,462587000000
"Singkawang, Kota",IDN_Singkawang_Kota_73750,70.66,656306000000
"Solok, Kota",IDN_Solok_Kota_18207,76.85,434103000000
"Sorong, Kota",IDN_Sorong_Kota_73751,78.92,762888000000
"Subulussalam, Kota",IDN_Subulussalam_18295,70.6,357145000000
"Sukabumi, Kota",IDN_Sukabumi_Kota_18018,76.16,844636000000
"Sungai Penuh, Kota",IDN_Sungai_Penuh_18300,78.11,557416000000
"Surabaya, Kota",IDN_Surabaya_Kota_18080,78.97,5235290000000
"Surakarta, Kota",IDN_Surakarta_Kota_18047,79.1,1385010000000
"Tangerang Selatan, Kota",IDN_Tangerang_Selatan_18303,77.13,2019540000000
"Tangerang, Kota",IDN_Tangerang_Kota_73752,76.05,2554200000000
"Tanjung Balai, Kota",IDN_Tanjung_Balai_Kota_73753,75.44,542933000000
"Tanjung Pinang, Kota",IDN_Tanjung_Pinang_Kota_73754,76.19,883677000000
"Tasikmalaya, Kota",IDN_Tasikmalaya_Kota_73756,75.71,1365590000000
