alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Selatan,Rp2.000.000.000,3,127,126
Bandung Utara,Rp999.000.000,3,62,72
Bandung Utara,Rp1.019.000.000,3,66,72
Bandung Timur,Rp1.230.900.000,2,60,90
Bandung Selatan,Rp1.400.000.000,2,94,90
Bandung Utara,Rp5.200.000.000,4,335,589
Bandung Utara,Rp1.140.750.000,3,130,111
Bandung Barat,Rp200.000.000,2,38,78
Bandung Utara,Rp4.501.000.000,4,250,265
Bandung Tengah,Rp875.425.000,3,70,95
Bandung Utara,Rp270.000.000,3,50,130
Bandung Barat,Rp380.000.000,2,36,72
Bandung Timur,Rp650.000.000,3,70,98
Bandung Barat,Rp1.650.000.000,2,107,128
Bandung Barat,Rp122.000.000,2,50,70
Bandung Selatan,Rp725.000.000,2,80,100
Bandung Tengah,Rp275.000.000,2,30,33
Bandung Tengah,Rp1.900.000.000,4,197,199
Bandung Utara,Rp850.000.000,6,180,133
Bandung Selatan,Rp800.000.000,3,70,95
Bandung Utara,Rp3.100.000.000,3,120,201
Bandung Utara,Rp2.600.000.000,4,250,180
Bandung Timur,Rp850.000.000,2,100,52
Bandung Barat,Rp3.000.000.000,4,300,270
Bandung Utara,Rp1.047.830.000,3,96,91
Bandung Timur,Rp875.425.000,3,70,95
Bandung Timur,Rp1.290.000.000,3,180,154
Bandung Selatan,Rp313.000.000,2,32,60
Bandung Selatan,Rp1.905.200.000,4,130,105
Bandung Tengah,Rp2.700.000.000,4,156,160
Bandung Selatan,Rp3.044.800.000,4,196,162
Bandung Selatan,Rp3.700.000.000,4,202,198
Bandung Utara,Rp175.000.000,2,60,60
Bandung Timur,Rp375.000.000,3,60,60
Bandung Timur,Rp461.000.000,2,36,61
Bandung Selatan,Rp911.460.000,2,60,92
Bandung Timur,Rp176.400.000,2,30,60
Bandung Selatan,Rp1.289.145.000,2,68,143
Bandung Selatan,Rp860.000.000,2,99,52
Bandung Barat,Rp1.350.000.000,2,100,80
Bandung Timur,Rp265.000.000,2,53,143
Bandung Selatan,Rp2.300.000.000,5,200,233
Bandung Timur,Rp3.690.000.000,5,320,215
Bandung Tengah,Rp1.600.000.000,3,80,119
Bandung Tengah,Rp800.000.000,3,120,140
Bandung Utara,Rp3.000.000.000,7,200,264
Bandung Utara,Rp990.000.000,3,110,120
Bandung Utara,Rp3.300.000.000,4,142,352
Bandung Utara,Rp9.000.000.000,4,346,960
Bandung Utara,Rp5.500.000.000,6,550,350
Bandung Tengah,Rp395.000.000,2,45,112
Bandung Selatan,Rp1.600.000.000,3,155,131
Bandung Utara,Rp4.000.000.000,4,400,360
Bandung Selatan,Rp3.800.000.000,10,300,330
Bandung Tengah,Rp400.000.000,2,45,112
Bandung Barat,Rp1.700.000.000,3,110,230
Bandung Selatan,Rp300.000.000,2,36,72
Bandung Barat,Rp576.750.000,2,36,111
Bandung Barat,Rp975.000.000,3,90,120
Bandung Selatan,Rp900.000.000,3,100,150
Bandung Utara,Rp3.500.000.000,4,205,260
Bandung Selatan,Rp4.500.000.000,3,100,165
Bandung Utara,Rp7.500.000.000,4,200,425
Bandung Timur,Rp549.000.000,2,45,100
Bandung Timur,Rp190.000.000,2,70,90
Bandung Utara,Rp2.100.000.000,3,120,146
Bandung Barat,Rp1.300.000.000,5,80,160
Bandung Selatan,Rp900.000.000,3,200,1296
Bandung Utara,Rp11.000.000.000,4,500,774
Bandung Tengah,Rp483.000.000,2,70,36
Bandung Tengah,Rp850.000.000,3,120,130
Bandung Barat,Rp400.000.000,3,128,68
Bandung Utara,Rp1.250.000.000,3,140,156
Bandung Tengah,Rp3.650.000.000,3,156,156
Bandung Timur,Rp350.000.000,4,90,98
Bandung Timur,Rp640.000.000,2,42,66
Bandung Barat,Rp14.999.000.000,7,500,943
Bandung Utara,Rp6.000.000.000,6,307,400
Bandung Utara,Rp1.800.000.000,4,235,163
Bandung Timur,Rp3.100.000.000,3,220,155
Bandung Timur,Rp1.900.000.000,3,200,87
Bandung Barat,Rp793.940.000,2,53,83
Bandung Utara,Rp330.000.000,2,30,60
Bandung Utara,Rp135.000.000,2,30,65
Bandung Utara,Rp195.000.000,2,38,78
Bandung Utara,Rp398.880.000,2,33,57
Bandung Barat,Rp1.900.000.000,3,200,87
Bandung Selatan,Rp450.000.000,2,60,131
Bandung Utara,Rp11.000.000.000,7,860,720
Bandung Utara,Rp6.000.000.000,15,321,350
Bandung Utara,Rp1.200.000.000,3,160,108
Bandung Selatan,Rp1.700.000.000,4,148,100
Bandung Barat,Rp4.250.000.000,4,300,216
Bandung Timur,Rp200.000.000,2,28,60
Bandung Tengah,Rp1.500.000.000,3,121,91
Bandung Barat,Rp3.300.000.000,3,180,290
Bandung Tengah,Rp2.550.000.000,4,225,170
Bandung Selatan,Rp250.000.000,3,72,60
Bandung Utara,Rp3.000.000.000,3,200,400
Bandung Utara,Rp12.000.000.000,5,400,400
Bandung Selatan,Rp1.650.000.000,4,200,147
Bandung Utara,Rp1.900.000.000,5,180,98
Bandung Utara,Rp8.200.000.000,8,365,365
Bandung Utara,Rp2.100.000.000,2,140,208
Bandung Utara,Rp10.000.000.000,3,350,575
Bandung Utara,Rp1.150.000.000,3,112,101
Bandung Selatan,Rp100.000.000,2,30,50
Bandung Timur,Rp860.000.000,2,52,97
Bandung Selatan,Rp1.486.100.000,3,90,140
Bandung Selatan,Rp2.857.250.000,5,175,225
Bandung Barat,Rp849.000.000,3,80,156
Bandung Timur,Rp375.000.000,2,40,75
Bandung Barat,Rp545.000.000,3,70,90
Bandung Timur,Rp3.100.000.000,3,210,492
Bandung Utara,Rp2.350.000.000,4,190,140
Bandung Utara,Rp1.250.000.000,4,140,176
Bandung Utara,Rp3.650.000.000,8,323,250
Bandung Timur,Rp250.000.000,3,72,60
Bandung Barat,Rp850.000.000,6,217,207
Bandung Tengah,Rp498.000.000,2,50,87
Bandung Selatan,Rp6.500.000.000,7,600,415
Bandung Utara,Rp2.600.000.000,4,250,172
Bandung Utara,Rp2.200.000.000,4,280,335
Bandung Selatan,Rp4.500.000.000,5,500,886
Bandung Tengah,Rp750.000.000,3,120,120
Bandung Timur,Rp550.000.000,6,100,150
Bandung Utara,Rp1.500.000.000,3,100,120
Bandung Tengah,Rp2.400.000.000,3,140,150
Bandung Timur,Rp8.600.000.000,4,600,2150
Bandung Tengah,Rp6.800.000.000,6,400,385
Bandung Barat,Rp3.900.000.000,3,150,350
Bandung Utara,Rp5.500.000.000,4,550,300
Bandung Selatan,Rp3.900.000.000,14,260,290
Bandung Utara,Rp1.500.000.000,3,80,104
Bandung Timur,Rp3.276.000.000,3,100,182
Bandung Tengah,Rp4.000.000.000,4,200,172
Bandung Utara,Rp6.500.000.000,4,342,542
Bandung Utara,Rp9.000.000.000,5,730,600
Bandung Utara,Rp10.500.000.000,7,700,695
Bandung Barat,Rp500.000.000,4,170,348
Bandung Tengah,Rp480.000.000,2,36,71
Bandung Timur,Rp600.000.000,2,60,100
Bandung Timur,Rp675.000.000,3,175,191
Bandung Utara,Rp4.000.000.000,3,265,360
Bandung Selatan,Rp899.000.000,3,90,156
Bandung Tengah,Rp5.750.000.000,4,300,275
Bandung Utara,Rp4.500.000.000,4,275,402
Bandung Utara,Rp560.000.000,2,65,109
Bandung Utara,Rp2.500.000.000,3,180,250
Bandung Utara,Rp1.049.000.000,3,120,100
Bandung Utara,Rp2.875.000.000,3,180,294
Bandung Utara,Rp3.500.000.000,4,200,343
Bandung Utara,Rp3.800.000.000,4,385,297
Bandung Utara,Rp10.000.000.000,17,515,515
Bandung Utara,Rp2.300.000.000,4,245,150
Bandung Selatan,Rp490.500.000,4,78,78
Bandung Barat,Rp1.300.000.000,3,150,120
Bandung Barat,Rp830.000.000,3,120,156
